homelat,homelon,homecontinent,n
-82.9,135,Antarctica,4
-54.8,-68.3,South America,4
-53.8,-67.7,South America,1
-53.2,-70.9,NA,2
-52.4,-71,South America,2
-51.7,-72.5,South America,2
-51.6,-69.2,South America,4
-51.6,-69.2,NA,1
-49.7,178.8,NA,1
-47.8,-65.9,NA,2
-46.5,-71.6,South America,2
-46.4,-67.5,South America,1
-46.1,169.6,Australia,1
-45.9,-67.5,South America,2
-45.9,170.5,Australia,62
-45.9,170.7,Australia,1
-45.8,170.6,Australia,2
-44.9,168.7,Australia,1
-44.8,-65.7,South America,1
-44.7,169.1,Australia,4
-43.5,172.6,Australia,62
-43.3,-65.1,South America,10
-43.3,-65,South America,5
-43.2,-65.3,South America,2
-43.1,147.3,NA,1
-42.9,-71.3,South America,4
-42.9,147.1,Australia,32
-42.9,147.3,Australia,1
-42.9,147.3,NA,3
-42.9,147.4,NA,1
-42.8,-65,South America,26
-42.8,147.3,Australia,2
-42.7,147.4,Australia,1
-42.4,171.7,Australia,3
-42.4,173.7,NA,24
-42,172,Australia,16
-41.9,-73.8,South America,1
-41.8,171.5,NA,10
-41.6,147.1,Australia,2
-41.6,173.4,Australia,2
-41.5,-72.9,South America,4
-41.5,146,Australia,7
-41.5,148.3,Australia,1
-41.3,-73,South America,3
-41.3,148.2,Australia,1
-41.3,173.3,Australia,10
-41.3,174.8,Australia,44
-41.3,174.8,NA,6
-41.1,-71.3,South America,6
-41.1,-71.2,South America,1
-41.1,174.8,Australia,6
-41.1,175.1,Australia,3
-40.9,174.9,NA,191
-40.9,175.1,Australia,1
-40.8,-65.1,South America,3
-40.8,-63,South America,2
-40.8,175.3,Australia,4
-40.6,-73.7,South America,1
-40.6,-73.1,South America,2
-40.4,175.6,Australia,5
-40.3,175.6,Australia,3
-40.2,-71.4,South America,2
-40,-65.4,South America,1
-39.8,-73.3,South America,2
-39.8,-73.2,South America,9
-39.8,176.7,Australia,4
-39.5,-73,South America,1
-39.4,-73.2,South America,3
-39.4,174.4,Australia,13
-39.3,-72,South America,22
-39.3,-65.8,South America,1
-39.3,-62.6,South America,2
-39.1,-67.4,South America,1
-39.1,174,Australia,3
-39.1,174.1,Australia,8
-39.1,174.4,Australia,1
-39,-68.1,South America,5
-39,-61.6,NA,3
-39,-61.3,NA,4
-38.9,-72.3,South America,4
-38.9,-71.2,South America,3
-38.7,-72.6,South America,10
-38.7,-62.4,South America,1
-38.7,-62.3,South America,10
-38.7,178,Australia,5
-38.6,-58.7,South America,10
-38.6,146.1,Australia,2
-38.5,143.7,Australia,2
-38.5,145.2,Australia,18
-38.5,145.3,Australia,5
-38.5,145.5,Australia,8
-38.5,145.9,Australia,3
-38.4,-63.6,South America,529
-38.4,142.5,Australia,1
-38.4,142.9,Australia,2
-38.4,144.3,Australia,5
-38.4,144.8,Australia,1
-38.4,144.9,Australia,15
-38.3,-59.6,South America,2
-38.3,-57.8,NA,24
-38.3,144,Australia,2
-38.3,144.3,Australia,26
-38.3,144.5,Australia,2
-38.3,144.6,NA,23
-38.3,144.7,NA,1
-38.3,145.1,Australia,1
-38.2,-57.7,NA,3
-38.2,-57.6,NA,6
-38.2,144.7,NA,1
-38.2,145.2,Australia,3
-38.1,144.4,Australia,6
-38.1,145.1,Australia,8
-38.1,176.2,Australia,1
-38.1,178,Australia,8
-38,-57.7,South America,5
-38,-57.6,South America,1
-38,-57.5,South America,499
-38,145,Australia,1
-38,145.1,Australia,8
-38,145.2,Australia,1
-38,145.3,Australia,1
-38,147,Australia,2
-37.9,-57.8,South America,2
-37.9,-57.6,South America,1
-37.9,144.7,Australia,2
-37.9,144.8,Australia,1
-37.9,145,Australia,17
-37.9,145.1,Australia,1
-37.9,145.3,Australia,1
-37.8,-57.5,South America,1
-37.8,140.8,Australia,2
-37.8,144.8,Australia,4
-37.8,144.9,Australia,16
-37.8,145,Australia,570
-37.8,145.1,Australia,2
-37.8,145.2,Australia,1
-37.8,145.3,Australia,2
-37.8,145.4,Australia,1
-37.8,174.9,NA,14
-37.8,175.3,Australia,11
-37.7,176.2,Australia,3
-37.7,177.1,NA,2
-37.6,143.9,Australia,6
-37.6,147.5,Australia,3
-37.6,176.2,NA,10
-37.5,-72.3,South America,8
-37.5,144.8,Australia,35
-37.5,175.2,Australia,1
-37.4,144.3,Australia,2
-37.4,144.6,Australia,2
-37.4,175.9,Australia,2
-37.3,-60,South America,2
-37.3,-59.1,South America,1
-37.3,-57,South America,2
-37.3,142.9,Australia,1
-37.2,-62.8,South America,3
-37.2,175.9,Australia,1
-37.1,-56.9,South America,54
-37.1,142.7,Australia,1
-37.1,145.9,Australia,1
-37,-73,South America,2
-37,-72.3,South America,1
-37,174.5,NA,1
-37,174.8,NA,1
-37,175.9,Australia,1
-36.9,-73.1,South America,2
-36.9,-62.7,South America,2
-36.9,174.7,Australia,4
-36.9,174.8,Australia,9
-36.9,175.8,Australia,1
-36.8,-73.1,South America,4
-36.8,-73,South America,21
-36.8,144.3,Australia,2
-36.8,149.9,Australia,2
-36.8,174.8,Australia,516
-36.8,174.8,NA,2
-36.8,175.1,NA,3
-36.7,-73.1,South America,1
-36.7,-56.7,South America,2
-36.7,142.2,Australia,1
-36.7,149.7,Australia,2
-36.7,150,Australia,1
-36.7,174.5,Australia,13
-36.6,-72.1,South America,8
-36.6,-64.3,South America,5
-36.6,-56.7,South America,1
-36.5,148.3,Australia,1
-36.3,-68,South America,2
-36.1,146.6,Australia,1
-35.8,-72.6,South America,2
-35.8,-71.6,South America,1
-35.8,-61.9,South America,2
-35.8,148,Australia,2
-35.7,-71.5,South America,326
-35.7,142.4,Australia,1
-35.7,174.3,Australia,1
-35.6,-58,South America,6
-35.5,138.5,Australia,5
-35.5,149,Australia,8
-35.4,-71.7,South America,2
-35.4,-71.6,South America,39
-35.4,150,Australia,73
-35.3,-72.4,South America,1
-35.3,140.9,Australia,1
-35.3,143.6,Australia,1
-35.3,149.1,Australia,107
-35.2,-56.7,NA,9
-35.2,137,Australia,2
-35.2,138.5,Australia,30
-35.2,174.2,NA,1
-35.1,-60.5,South America,1
-35.1,-57.5,South America,1
-35.1,147.4,Australia,1
-35.1,150.6,Australia,1
-35,-71.3,South America,4
-35,-58.8,South America,4
-35,117.4,Australia,1
-34.9,-71.2,South America,1
-34.9,-58,South America,113
-34.9,-57.9,South America,6
-34.9,-56.2,South America,163
-34.9,-56.2,NA,21
-34.9,-56.1,South America,2
-34.9,-55,South America,18
-34.9,-54.9,NA,30
-34.9,138.6,Australia,54
-34.9,150.6,Australia,1
-34.8,-58.8,South America,1
-34.8,-58.5,South America,4
-34.8,-58.4,South America,4
-34.8,-58.2,South America,5
-34.8,-58,South America,1
-34.8,-56,South America,2
-34.8,-55.8,South America,13
-34.8,138.5,Australia,1
-34.8,150.8,Australia,4
-34.7,-71.1,South America,2
-34.7,-58.7,South America,3
-34.7,-58.6,South America,4
-34.7,-58.5,South America,1
-34.7,-58.4,South America,12
-34.7,-58.3,South America,9
-34.7,-56,South America,2
-34.7,-54.2,South America,135
-34.7,135.9,Australia,26
-34.7,138.7,Australia,6
-34.7,150.8,NA,13
-34.7,150.9,NA,1
-34.6,-71.4,South America,5
-34.6,-71,South America,8
-34.6,-60.9,South America,3
-34.6,-59.1,South America,1
-34.6,-58.7,South America,1
-34.6,-58.6,South America,46
-34.6,-58.5,South America,34
-34.6,-58.4,South America,1136
-34.6,-54.1,South America,3
-34.6,19.4,Africa,1
-34.6,150.9,NA,2
-34.5,-58.9,South America,3
-34.5,-58.7,South America,3
-34.5,-58.6,South America,15
-34.5,-58.5,South America,34
-34.5,-58.4,South America,1
-34.5,-56.3,South America,10
-34.5,-54.3,South America,4
-34.5,19.4,Africa,2
-34.5,138.9,Australia,1
-34.5,150.8,Australia,4
-34.4,-72,South America,94
-34.4,-71.2,South America,1
-34.4,-70.9,South America,2
-34.4,-58.8,South America,1
-34.4,-58.6,South America,9
-34.4,-55.3,South America,3
-34.4,-55.2,South America,1
-34.4,19.3,Africa,1
-34.4,21.4,Africa,1
-34.4,138.8,Australia,1
-34.4,148.6,Australia,1
-34.4,150.9,Australia,40
-34.3,-56.7,South America,3
-34.3,18.9,Africa,2
-34.3,150.9,Australia,11
-34.2,-70.7,South America,19
-34.2,18.4,Africa,4
-34.2,18.9,Africa,3
-34.2,21.6,Africa,1
-34.2,22.1,Africa,3
-34.2,24.8,Africa,2
-34.2,142.1,Australia,1
-34.2,150.5,Australia,1
-34.2,150.7,Australia,38
-34.1,-71.7,South America,1
-34.1,-59,South America,2
-34.1,-56.2,South America,2
-34.1,18.3,Africa,1
-34.1,18.3,NA,2
-34.1,18.4,Africa,9
-34.1,18.5,Africa,20
-34.1,18.6,NA,2
-34.1,18.8,Africa,12
-34.1,23.4,Africa,7
-34.1,23.4,NA,1
-34.1,24.9,Africa,57
-34.1,150.7,Australia,2
-34.1,151.2,Australia,28
-34,-71.9,South America,3
-34,-58.3,South America,1
-34,-53.5,NA,1
-34,18.3,NA,27
-34,18.4,Africa,2
-34,18.5,Africa,12
-34,18.6,Africa,3
-34,20.4,Africa,2
-34,22.5,Africa,6
-34,22.6,Africa,6
-34,22.8,Africa,20
-34,23,Africa,6
-34,115.1,Australia,9
-34,116.1,Australia,2
-34,150.7,Australia,94
-34,151.1,Australia,5
-33.9,-70.8,South America,1
-33.9,18.4,Africa,1208
-33.9,18.6,Africa,1
-33.9,18.7,Africa,2
-33.9,18.9,Africa,157
-33.9,19.2,Africa,2
-33.9,25.5,Africa,2
-33.9,121.9,NA,3
-33.9,151.1,Australia,1
-33.9,151.2,Australia,2350
-33.9,151.3,Australia,309
-33.8,-70.7,South America,1
-33.8,18.5,Africa,26
-33.8,18.7,Africa,2
-33.8,19,Africa,2
-33.8,25.5,Africa,1
-33.8,150.6,Australia,1
-33.8,150.7,Australia,1
-33.8,150.8,Australia,1
-33.8,150.9,Australia,3
-33.8,151,Australia,4
-33.8,151.1,Australia,23
-33.8,151.2,Australia,5
-33.8,151.3,Australia,66
-33.7,-70.9,South America,2
-33.7,-69.1,South America,1
-33.7,-65.5,South America,4
-33.7,19,Africa,6
-33.7,25.5,Africa,22
-33.7,115.4,Australia,4
-33.7,150.3,Australia,1
-33.7,150.7,Australia,2
-33.7,151,Australia,10
-33.7,151.3,Australia,42
-33.7,151.3,NA,5
-33.6,-71.6,South America,4
-33.6,-70.7,South America,3
-33.6,150.8,Australia,3
-33.6,151.3,NA,23
-33.5,-70.8,South America,8
-33.5,-70.7,South America,6
-33.5,-70.6,South America,8
-33.5,-70.5,South America,1
-33.5,18.7,Africa,1
-33.5,150.2,Australia,2
-33.5,151.3,Australia,5
-33.5,151.4,Australia,2
-33.4,-71.7,South America,18
-33.4,-71.7,NA,1
-33.4,-70.8,South America,4
-33.4,-70.7,South America,292
-33.4,-70.6,South America,69
-33.4,-70.5,South America,18
-33.4,-60.3,South America,1
-33.4,19.8,Africa,2
-33.4,149.6,Australia,1
-33.4,149.7,Australia,1
-33.4,151.3,Australia,1
-33.4,151.4,Australia,13
-33.4,151.5,NA,6
-33.3,-70.7,South America,1
-33.3,-66.3,South America,34
-33.3,19.1,Africa,1
-33.3,151.2,Australia,13
-33.3,151.4,Australia,2
-33.3,151.5,Australia,5
-33.3,151.5,NA,1
-33.2,-70.7,South America,4
-33.2,18.1,Africa,1
-33.2,21.9,Africa,11
-33.1,-71.6,South America,1
-33.1,-71.4,South America,7
-33.1,-64.3,South America,3
-33.1,18.1,Africa,5
-33.1,81.8,NA,18
-33.1,151.7,Australia,2
-33,-71.6,South America,79
-33,-71.5,South America,13
-33,-71.4,South America,3
-33,-71.3,South America,6
-33,-68.9,South America,18
-33,-68.8,South America,2
-33,-60.7,South America,1
-33,-58.5,South America,2
-33,27.9,Africa,8
-33,151.7,Australia,56
-32.9,-71.5,South America,15
-32.9,-71.2,South America,3
-32.9,-68.9,South America,2
-32.9,-68.8,South America,13
-32.9,-68.7,South America,1
-32.9,-62.7,South America,1
-32.9,-60.7,South America,164
-32.9,28,NA,1
-32.9,151.7,Australia,4
-32.9,151.8,Australia,36
-32.8,-71.5,NA,1
-32.8,-70.7,South America,1
-32.8,-70.6,South America,6
-32.8,151.3,Australia,1
-32.8,151.8,Australia,3
-32.7,-65.3,South America,3
-32.7,-57.6,South America,1
-32.7,-53.3,South America,1
-32.7,116.6,Australia,1
-32.7,151.5,Australia,1
-32.7,152.2,Australia,3
-32.6,-71.4,South America,3
-32.5,-71.4,South America,3
-32.5,-71,South America,6
-32.5,-58.2,South America,6
-32.5,-55.8,South America,160
-32.4,-71.2,South America,4
-32.4,152.2,Australia,2
-32.4,152.5,NA,8
-32.3,-58.1,South America,1
-32.3,-52.4,South America,7
-32.3,26.4,Africa,4
-32.3,115.8,Australia,1
-32.2,-64.3,South America,1
-32.2,-64.1,South America,2
-32.2,-58.1,South America,1
-32.2,-52.2,South America,1
-32.2,148.6,Australia,1
-32.2,152.5,Australia,1
-32.1,18.3,Africa,4
-32.1,115.7,Australia,6
-32.1,115.8,Australia,8
-32,115.8,Australia,2
-32,115.9,Australia,418
-31.9,-71.5,South America,5
-31.9,-54.2,South America,1
-31.9,26.9,Africa,1
-31.9,115.8,Australia,5
-31.9,115.9,Australia,1
-31.9,152.4,Australia,2
-31.9,152.5,Australia,1
-31.8,-71,South America,1
-31.8,-60.5,South America,2
-31.8,-51.6,South America,120
-31.8,115.8,Australia,2
-31.8,147.6,Australia,6
-31.7,-65,South America,1
-31.7,-64.4,South America,1
-31.7,-60.8,South America,1
-31.7,-60.5,South America,8
-31.7,115.7,Australia,1
-31.6,-68.5,South America,1
-31.6,-60.7,South America,9
-31.5,-68.5,South America,4
-31.5,-64.5,South America,2
-31.5,-64.2,South America,2
-31.5,159.1,NA,2
-31.4,-64.5,South America,3
-31.4,-64.2,South America,26
-31.4,-58,South America,2
-31.4,152.9,Australia,20
-31.3,-61.5,South America,2
-31.3,146.9,Australia,65
-31.2,152.6,Australia,4
-31.1,30.2,NA,1
-31.1,150.9,Australia,2
-31.1,152.8,Australia,1
-31,-71.3,South America,1
-31,30.2,Africa,2
-30.9,-62.7,South America,1
-30.8,-58,South America,2
-30.8,30.4,Africa,7
-30.7,30.4,Africa,26
-30.6,22.9,Africa,298
-30.5,-70.8,South America,1
-30.5,115.1,NA,2
-30.5,151.7,Australia,2
-30.4,-66.3,South America,1
-30.4,153.1,Australia,1
-30.3,153.1,Australia,6
-30.2,-61.9,South America,1
-30.1,-70.5,South America,4
-30.1,-51.3,South America,1
-30.1,-51.2,South America,5
-30.1,-51,South America,3
-30.1,153.2,Australia,4
-30,-71.4,South America,2
-30,-71.3,South America,40
-30,-51.2,South America,158
-30,-50.1,South America,2
-30,136.2,Australia,23
-29.9,-71.3,South America,24
-29.9,-71.2,South America,1
-29.9,-61.9,South America,1
-29.9,-51.2,South America,17
-29.9,-51.1,South America,3
-29.9,30.9,Africa,2
-29.9,31,Africa,250
-29.9,31,NA,3
-29.8,-50,South America,9
-29.8,30.8,Africa,2
-29.7,-53.8,South America,3
-29.7,-52.4,South America,12
-29.7,-51.1,South America,2
-29.7,30.8,Africa,1
-29.7,31.1,Africa,4
-29.6,-51.4,South America,1
-29.6,30.4,Africa,28
-29.5,-52,South America,3
-29.5,-51.8,South America,1
-29.5,-51.1,South America,1
-29.5,31.2,Africa,13
-29.5,31.2,NA,2
-29.5,145.5,Australia,4
-29.4,-66.9,South America,1
-29.4,31.2,Africa,11
-29.4,153.3,Australia,1
-29.3,-49.7,South America,14
-29.2,-51.5,South America,1
-29.2,-51.2,South America,3
-29.2,-49.8,South America,1
-29.1,26.2,Africa,3
-29,86.4,NA,2
-29,168,Australia,5
-28.9,-49.5,South America,6
-28.9,153.6,Australia,2
-28.8,31.9,Africa,6
-28.8,32,Africa,2
-28.8,114.6,Australia,1
-28.8,153.3,Australia,10
-28.8,153.6,Australia,3
-28.7,-49.4,South America,14
-28.7,153.6,Australia,6
-28.6,151.8,Australia,1
-28.6,153.2,Australia,24
-28.6,153.5,Australia,1
-28.6,153.6,Australia,301
-28.6,153.6,NA,4
-28.5,-49,South America,3
-28.5,-48.8,NA,1
-28.5,30.9,Africa,1
-28.4,-52.8,South America,1
-28.4,-49.5,South America,1
-28.4,153.6,Australia,1
-28.3,-49.2,South America,17
-28.3,153.6,Australia,6
-28.3,153.6,NA,1
-28.2,-48.7,South America,21
-28.2,28.3,Africa,25
-28.2,153.5,Australia,2
-28.2,153.5,NA,73
-28.1,-48.7,South America,626
-28.1,-48.6,South America,5
-28.1,153.4,Australia,92
-28.1,153.5,Australia,21
-28,-48.6,South America,19
-28,153.4,Australia,414
-27.9,153.3,Australia,1
-27.9,153.4,Australia,9
-27.7,-48.5,South America,1
-27.7,30,Africa,1
-27.7,121.6,Australia,100
-27.7,153.1,Australia,2
-27.7,153.2,Australia,4
-27.7,153.4,NA,36
-27.6,-48.6,South America,125
-27.6,-48.6,NA,1
-27.6,-48.5,NA,1608
-27.6,-48.4,South America,88
-27.6,152,Australia,2
-27.6,153,Australia,4
-27.6,153.1,Australia,4
-27.6,153.4,NA,1
-27.5,-59,South America,2
-27.5,-58.8,South America,2
-27.5,152.9,Australia,1
-27.5,153,Australia,605
-27.5,153.1,Australia,4
-27.5,153.2,Australia,1
-27.5,153.3,NA,2
-27.4,-55.9,South America,3
-27.4,153,Australia,2
-27.4,153.1,Australia,4
-27.3,-65.6,South America,2
-27.3,-55.9,South America,1
-27.3,-50.6,South America,1
-27.3,153.1,Australia,6
-27.2,-51.5,South America,2
-27.2,-50.2,South America,41
-27.2,-49.6,South America,1
-27.2,29.6,Africa,15
-27.2,153.1,Australia,2
-27.1,-109.3,South America,19
-27.1,-48.5,NA,15
-27.1,153,Australia,1
-27,-48.6,South America,14
-27,152.6,Australia,3
-26.9,-49.1,South America,12
-26.9,-48.7,South America,8
-26.8,-70.1,South America,2
-26.8,-65.3,South America,1
-26.8,-65.2,South America,5
-26.8,-49.4,South America,1
-26.8,-49.3,South America,1
-26.8,-48.7,South America,2
-26.8,-48.6,NA,1
-26.7,25.3,Africa,7
-26.7,27.1,Africa,2
-26.7,153.1,Australia,12
-26.6,153,Australia,1
-26.6,153.1,Australia,283
-26.5,-49.1,South America,2
-26.5,-48.6,NA,1
-26.5,27.8,Africa,1
-26.5,29.2,Africa,2
-26.5,30,Africa,2
-26.5,31.5,Africa,2
-26.5,151.6,Australia,1
-26.5,153.1,Australia,6
-26.4,153,Australia,40
-26.4,153.1,Australia,48
-26.3,-48.9,South America,1
-26.3,-48.8,South America,12
-26.3,28.1,Africa,10
-26.3,28.5,Africa,1
-26.3,31.1,Africa,2
-26.2,-69.6,South America,1
-26.2,27.9,Africa,2
-26.2,28,Africa,87
-26.2,28.1,Africa,4
-26.2,28.2,Africa,1
-26.1,-48.7,South America,1
-26.1,27.9,Africa,4
-26.1,28,Africa,4
-26.1,28.1,Africa,3
-26.1,28.2,Africa,1
-26,28.1,Africa,5
-26,28.2,Africa,1
-25.9,-53.5,South America,1
-25.9,-48.6,NA,4
-25.9,28.1,Africa,1
-25.9,32.6,Africa,2
-25.8,-57.5,South America,1
-25.8,-53.5,South America,2
-25.8,-48.5,NA,4
-25.8,28.2,Africa,5
-25.7,-52.7,South America,2
-25.7,-49.3,South America,6
-25.7,-48.5,South America,11
-25.7,28.2,Africa,12
-25.6,-57.5,South America,1
-25.6,30.5,Africa,13
-25.6,152.6,Australia,1
-25.5,-54.6,South America,2
-25.5,-49.2,South America,1
-25.5,-48.5,NA,6
-25.5,31,Africa,3
-25.4,-49.3,South America,147
-25.3,-57.6,South America,10
-25.3,-52,South America,29
-25.3,133.8,Australia,1943
-25.3,152.8,Australia,3
-25.2,152.3,Australia,1
-25.1,-50.2,South America,3
-24.9,25.8,Africa,4
-24.8,-65.4,South America,2
-24.7,-47.6,South America,1
-24.6,25.9,Africa,2
-24.5,-48.8,South America,2
-24.5,-47.8,South America,1
-24.3,-47,South America,17
-24.2,-65.3,South America,10
-24.2,-64.9,South America,1
-24.2,-46.8,South America,1
-24.2,151.9,Australia,1
-24.1,-50,South America,2
-24.1,-46.7,South America,35
-24,-46.4,South America,36
-24,-46.4,NA,79
-24,-46.3,South America,71
-24,-46.3,NA,91
-24,28.3,Africa,1
-23.9,-46.4,South America,33
-23.8,-64.8,South America,1
-23.8,-46.1,South America,18
-23.8,-45.7,NA,13
-23.8,-45.6,South America,17
-23.8,-45.6,NA,2
-23.8,-45.4,South America,2
-23.8,-45.4,NA,11
-23.7,-70.4,South America,34
-23.7,-47.2,South America,3
-23.7,-46.8,South America,1
-23.7,-46.6,South America,18
-23.7,-46.5,South America,9
-23.7,133.9,Australia,7
-23.6,-51.5,South America,90
-23.6,-48.2,South America,1
-23.6,-46.9,South America,5
-23.6,-46.7,South America,20
-23.6,-46.6,South America,1107
-23.6,-46.4,South America,1
-23.6,-45.4,South America,2
-23.5,-49.4,South America,1
-23.5,-47.5,South America,4
-23.5,-47.1,South America,2
-23.5,-46.9,South America,6
-23.5,-46.8,South America,7
-23.5,-46.7,South America,4
-23.5,-46.6,South America,9
-23.5,-46.5,South America,3
-23.5,-46.3,South America,5
-23.5,-46.2,South America,4
-23.4,-58.4,South America,4
-23.4,-51.9,South America,3
-23.4,-46.7,South America,1
-23.4,-46.5,South America,2
-23.4,-45.1,South America,20
-23.4,-45,South America,2
-23.4,29.4,Africa,1
-23.4,150.5,Australia,2
-23.3,-51.4,South America,1
-23.3,-51.2,South America,4
-23.3,-51,South America,2
-23.3,-46,South America,1
-23.2,-46.9,South America,51
-23.2,-45.9,South America,8
-23.2,-44.7,South America,3
-23.2,150.8,Australia,5
-23.1,-47.2,South America,3
-23.1,-45.7,South America,1
-23.1,150.7,Australia,2
-23,-47.5,South America,1
-23,-47,South America,3
-23,-45.6,South America,2
-23,-44.5,South America,1
-23,-44.3,South America,31
-23,-43.6,South America,2
-23,-43.5,South America,10
-23,-43.5,NA,2
-23,-43.4,South America,4
-23,-43.4,NA,32
-23,-43.3,South America,12
-23,-43.3,NA,6
-23,-43.2,NA,30
-23,-43,NA,9
-23,-42,NA,23
-23,18.5,Africa,6
-23,30.5,Africa,3
-22.9,-48.4,South America,1
-22.9,-47.1,South America,23
-22.9,-47,South America,3
-22.9,-43.6,South America,6
-22.9,-43.5,South America,3
-22.9,-43.4,South America,1
-22.9,-43.3,South America,11
-22.9,-43.2,South America,7
-22.9,-43.2,NA,2692
-22.9,-43.1,NA,40
-22.9,-42.8,South America,7
-22.9,-42.5,South America,29
-22.9,-42.3,South America,9
-22.9,-42,South America,84
-22.8,-47.3,South America,1
-22.8,-43.7,South America,2
-22.8,-43.5,South America,7
-22.8,-43.4,South America,3
-22.8,-43.3,South America,4
-22.8,-43.2,NA,1
-22.8,-43.1,South America,7
-22.8,-41.9,NA,8
-22.7,-47.6,South America,4
-22.7,-47.3,South America,3
-22.7,-47,South America,1
-22.7,-45.6,South America,1
-22.7,-42.7,South America,1
-22.7,-42.6,South America,3
-22.7,140,Australia,7
-22.6,-47.4,South America,2
-22.6,-46.7,South America,1
-22.6,-46.5,South America,2
-22.6,-43.3,South America,1
-22.6,-43,South America,1
-22.6,-42,South America,3
-22.6,17.1,Africa,3
-22.6,167.5,Australia,1
-22.5,-68.9,South America,1
-22.5,-63.8,South America,1
-22.5,-55.7,South America,1
-22.5,-43.2,South America,12
-22.5,-41.9,South America,15
-22.4,-66.8,South America,1
-22.4,-60,South America,6
-22.4,-47.6,South America,6
-22.4,-47.4,South America,1
-22.4,-45.5,South America,4
-22.4,-42.7,South America,2
-22.4,-41.8,South America,14
-22.3,-49.1,South America,5
-22.3,-42.5,South America,27
-22.3,24.7,Africa,1
-22.3,166.5,NA,2
-22.1,-51.4,South America,1
-22.1,-43.2,South America,2
-22,-47.9,South America,1
-22,-47.4,South America,2
-22,-46.8,South America,2
-22,-46,South America,4
-21.9,-50.6,South America,1
-21.9,-49,South America,2
-21.9,-47.6,South America,1
-21.9,-45.3,South America,1
-21.9,114.1,Australia,1
-21.8,-46.6,South America,1
-21.8,-43.3,South America,1
-21.8,-41.3,South America,8
-21.6,-46.9,South America,1
-21.6,-43.3,South America,2
-21.6,-41,South America,1
-21.5,-43,South America,1
-21.3,-49.5,South America,1
-21.3,-47.8,South America,2
-21.3,55.5,Europe,1
-21.2,-175.2,Australia,1
-21.2,-159.8,Australia,2
-21.2,-48.9,South America,1
-21.2,-47.8,South America,6
-21.2,-41.9,South America,1
-21.2,27.5,Africa,1
-21.2,55.3,NA,4
-21.2,55.5,Europe,1
-21.2,55.6,Europe,2
-21.1,-48,South America,6
-21.1,-42.9,South America,2
-21.1,55.2,NA,1
-21.1,55.5,Europe,39
-21.1,55.6,Europe,2
-21.1,149.2,Australia,1
-21,55.2,NA,1
-21,55.3,Europe,45
-21,55.7,Europe,3
-20.9,55.3,Europe,1
-20.9,55.5,Europe,30
-20.9,142.7,Australia,78
-20.9,165.6,NA,11
-20.8,-51.7,South America,1
-20.8,-49.5,South America,1
-20.8,-49.4,South America,1
-20.8,-41.1,South America,1
-20.8,-40.7,South America,1
-20.7,-48.9,South America,1
-20.7,-47.9,South America,1
-20.7,-42.3,South America,1
-20.7,116.8,Australia,2
-20.5,-54.6,South America,4
-20.5,-47.4,South America,1
-20.5,-43.9,South America,1
-20.5,-40.4,South America,6
-20.5,-40.4,NA,1
-20.4,-54.7,South America,3
-20.4,-50,South America,2
-20.4,-40.7,South America,5
-20.4,-40.4,South America,3
-20.4,-40.3,South America,1
-20.4,-40.3,NA,2
-20.4,57.4,Africa,1
-20.3,-40.3,South America,3
-20.3,-40.3,NA,78
-20.3,57.4,Africa,8
-20.3,57.6,Africa,58
-20.3,118.6,Australia,1
-20.3,148.7,Australia,2
-20.2,-70.2,NA,3
-20.2,-70.1,South America,45
-20.2,-69.3,South America,2
-20.1,-44.9,South America,1
-20.1,-40.3,South America,7
-20.1,-40.2,South America,4
-20,-52.1,South America,1
-19.9,-44,South America,1
-19.9,-43.9,South America,34
-19.7,-47.9,South America,2
-19.7,-45.3,South America,2
-19.6,-43.9,South America,1
-19.6,-43.2,South America,1
-19.5,-44.2,South America,3
-19.5,-44,South America,2
-19.5,-42.5,South America,3
-19.4,-40.1,South America,1
-19.3,-44.4,South America,2
-19.3,146.8,Australia,12
-19.2,-40.3,South America,21
-19.2,146.8,Australia,1
-19,-65.3,South America,1
-19,-49.5,South America,1
-19,29.2,Africa,4
-18.9,-48.3,South America,4
-18.9,-42,South America,1
-18.9,29.8,Africa,1
-18.8,-52.6,South America,1
-18.8,46.9,Africa,4
-18.7,-39.9,South America,1
-18.7,35.5,Africa,2
-18.6,-46.5,South America,14
-18.6,-39.7,South America,1
-18.5,-70.3,South America,34
-18.5,-44.6,South America,11
-18.3,147.7,NA,1
-18.2,31.5,Africa,1
-18.1,178.5,Australia,4
-17.9,-41.5,South America,1
-17.9,122.2,NA,2
-17.8,31,Africa,4
-17.7,-149.4,Australia,260
-17.7,177.1,NA,5
-17.7,177.4,NA,1
-17.7,178.1,Australia,58
-17.6,-149.6,Australia,141
-17.5,-149.8,Australia,1
-17.4,-66.2,South America,1
-17.3,0,NA,2
-17,177.4,NA,1
-16.9,145.8,Australia,7
-16.8,-151.5,Australia,1
-16.7,-49.3,South America,14
-16.7,-49.1,South America,1
-16.5,-151.7,NA,1
-16.5,-68.1,South America,3
-16.5,145.5,Australia,1
-16.4,-71.5,South America,8
-16.4,-39.1,South America,1
-16.3,-63.6,South America,2
-16.2,-42.3,South America,1
-16,-5.7,Africa,16
-15.8,-49.8,South America,2
-15.8,-48,South America,6
-15.8,-47.9,South America,118
-15.6,-56.1,South America,3
-15.6,28.3,Africa,1
-15.4,28.3,Africa,2
-14.8,-39,South America,9
-14.6,-28.7,NA,1
